facId,year,economicNoncooperation,protestDemonstration,nonviolentIntervention,socialNoncooperation,institutionalAction,politicalNoncooperation
104012,2013,0,0,0,0,0,0
104012,2014,0,0,0,0,1,0
104012,2015,0,0,0,0,0,0
104012,2016,0,0,0,0,0,0
105001,1979,0,0,0,0,0,0
105001,1980,0,0,0,0,0,0
105001,1981,0,0,0,0,0,0
105001,1982,0,0,0,0,0,0
105001,1983,0,0,0,0,0,0
105001,1984,0,0,0,0,0,0
105001,1985,0,0,0,0,0,0
105001,1986,0,0,0,0,0,0
105001,1987,0,0,0,0,0,0
105001,1988,0,0,0,0,0,0
105001,1989,0,1,1,1,0,0
105001,1990,0,1,0,0,0,0
105001,1991,0,0,0,0,0,0
105001,1992,0,1,0,0,0,0
105001,1993,1,1,0,0,0,0
105001,1994,0,1,0,0,0,0
105001,1995,0,1,0,0,0,0
105001,1996,0,1,0,0,0,0
105001,1997,0,1,1,1,0,0
105001,1998,0,0,0,0,0,0
105001,1999,0,0,0,0,0,0
105001,2000,0,0,1,0,0,0
105001,2001,1,0,0,0,0,0
105001,2002,1,1,0,0,0,0
105001,2003,0,1,0,0,0,0
105001,2004,0,0,0,0,0,0
105001,2005,0,0,0,0,0,0
105001,2006,0,0,0,0,0,0
105001,2007,0,1,0,0,0,0
105001,2008,0,1,0,0,0,0
105001,2009,0,1,0,0,0,0
105001,2010,0,1,0,0,0,0
105001,2011,0,1,0,0,0,0
105001,2012,0,1,0,0,0,0
105001,2013,0,0,0,0,0,0
105001,2014,0,0,0,0,0,0
105001,2015,0,0,0,0,0,0
105001,2016,0,0,0,0,0,0
105001,2017,0,0,0,0,0,1
105001,2018,0,1,0,0,0,0
105001,2019,0,1,0,0,0,0
105001,2020,0,0,0,0,0,0
105002,1998,0,0,0,0,0,0
105002,1999,0,0,0,0,0,0
105002,2000,0,0,0,0,0,0
105002,2001,0,0,0,0,0,0
105002,2002,0,0,0,0,0,0
105002,2003,0,0,0,0,0,0
105002,2004,0,0,0,0,0,0
105002,2005,0,1,0,0,0,0
105002,2006,0,0,0,0,0,0
105002,2007,0,0,0,0,0,0
105002,2008,0,0,0,0,0,0
105002,2009,0,0,0,0,0,0
105002,2010,0,0,0,0,0,0
105002,2011,0,0,0,0,0,0
105002,2012,0,1,0,0,0,0
105002,2013,0,0,0,0,0,0
105002,2014,0,0,0,0,0,0
105002,2015,0,1,0,0,0,0
105002,2016,0,0,0,0,0,0
105002,2017,0,0,0,0,0,0
105002,2018,0,0,0,0,0,0
105002,2019,0,0,0,0,0,0
105002,2020,0,0,0,0,0,0
105003,1977,0,0,0,0,0,0
105003,1978,0,0,0,0,0,0
105003,1979,0,0,0,0,0,0
105003,1980,0,0,0,0,0,0
105003,1981,0,0,0,0,0,0
105003,1982,0,0,0,0,0,0
105003,1983,0,0,0,0,0,0
105003,1984,0,0,0,0,0,0
105003,1985,0,0,0,0,0,0
105003,1986,0,0,0,0,0,0
105003,1987,0,0,0,0,0,0
105003,1988,0,0,0,0,0,0
105003,1989,0,0,0,0,0,0
105003,1990,0,0,0,0,0,0
105003,1991,0,0,0,0,0,0
105003,1992,0,0,0,0,0,0
105003,1993,0,0,0,0,0,0
105003,1994,0,0,0,0,0,0
105003,1995,0,0,0,0,0,0
105003,1996,0,0,0,0,0,0
105003,1997,0,0,0,0,0,0
105003,1998,0,0,0,0,0,0
105003,1999,0,0,0,0,0,0
105003,2000,0,0,0,0,0,0
105003,2001,0,0,0,0,0,0
105003,2002,0,0,0,0,0,0
105003,2003,0,0,0,0,0,0
105003,2004,0,0,0,0,0,0
105003,2005,0,1,0,0,0,0
105003,2006,0,0,0,0,0,0
105003,2007,0,0,0,0,0,0
105003,2008,0,0,0,0,0,0
105003,2009,0,0,0,0,0,0
105003,2010,0,1,0,0,0,0
105003,2011,0,0,0,0,0,0
105003,2012,0,0,0,0,0,0
105003,2013,0,0,0,0,0,0
105003,2014,0,0,0,0,0,0
105003,2015,0,0,0,0,0,0
105003,2016,0,0,0,0,0,0
105003,2017,0,0,0,0,0,0
105003,2018,0,0,0,0,0,0
105003,2019,0,0,0,0,0,0
